,Date,Study,Study Link,Journal,Study Type,Detection Method,Sample Size,Measure of Testing Accuracy,Speed of assay,FDA approval (Y/N),Added on
0,2020-04-07,Portable and accurate diagnostics for COVID-19: Combined use of the miniPCR thermocycler and a well-plate reader for SARS-Co2 virus detection,https://www.medrxiv.org/content/10.1101/2020.04.03.20052860v1,medRxiv,Simulation study,mini-PCR,-,The fluorescence readings were 211 capable of clearly discriminating between positive and negative samples across the whole range of dilutions tested (from 2 × 105 212 to 625 copies),60 mins,N,2020-04-25
1,2020-04-04,Detecting SARS-CoV-2 at point of care: Preliminary data comparing Loop-mediated isothermal amplification (LAMP) to PCR,https://www.medrxiv.org/content/10.1101/2020.04.01.20047357v1,medRxiv,Simulation Study,RT-LAMP,24,sensitivity: 80%; specifity: 73%;  positive predictive value: 73%; negative predicitve value: 83%,<30 mins,Y,2020-04-25
2,2020-04-04,Detecting SARS-CoV-2 at point of care: Preliminary data comparing Loop-mediated isothermal amplification (LAMP) to PCR,https://www.medrxiv.org/content/10.1101/2020.04.01.20047357v1,medRxiv,Simulation Study,RT-PCR,24,-,<30 mins,Y,2020-04-25
3,2020-03-24,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,American Chemical Society,Review,RT-LAMP,-,"The lateral flow assay has demonstrated a clinical sensitivity, specificity, and accuracy of 57%, 100%, and 69% for IgM and 81%, 100%, and 86% for IgG, respectively. A test that detects both IgM and IgG yields a clinical sensitivity of 82%. [Microfluidics] showed 100% and 87% clinical sensitivity and specificity for HIV",1+ hours,Y,2020-04-25
4,2020-03-18,"All-in-One Dual CRISPR-Cas12a (AIOD-CRISPR) Assay: A Case for Rapid, Ultrasensitive and Visual Detection of Novel Coronavirus SARS-CoV-2 and HIV virus",https://www.biorxiv.org/content/10.1101/2020.03.19.998724v1,bioRxiv,Simulation Study,All-in-One Dual CRISPR-Cas12a (AIOD-CRISPR),3,Both real-time and visual AIOD-CRISPR-based detections could detect down to 4.6 copies of SARS-CoV-2 N RNA targets in 40 min.,<40 min,Y,2020-04-25
5,2020-03-09,Sensitive one-step isothermal detection of pathogen-derived RNAs medrxiv,https://www.medrxiv.org/content/10.1101/2020.03.05.20031971v2,medRxiv,Simulation,SENSR (Novel pathogen diagnostic technique),-,"All four probe pairs were able to detect 1 aM of SARS267 CoV-2 RNA, thereby exhibiting higher fluorescence intensity compared to that of the related 268 viral RNA sequences",30 mins,N,2020-04-25
6,2020-03-02,CRISPR-based surveillance for COVID-19 using genomically-comprehensive machine learning design biorxiv,https://www.biorxiv.org/content/10.1101/2020.02.26.967026v2,biorxiv,Simulation,CRISPR,-,Limit of detection of synthetic RNA target determined to be 10 copies/µl using both fluorescent and lateral flow detection. This assay performs well in comparison to the recently disclosed DETECTR assay (sensitivity: 70–300 cp/µl) and SHERLOCK assay (10–100 cp/µl) for SARS-CoV-2.,30 mins to 3 hrs,Y,2020-04-25
7,2020-03-02,Fecal specimen diagnosis 2019 novel coronavirus–infected pneumonia,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25742?casa_token=ho46WmikWXAAAAAA%3AGisen6_A6UoE2JVWPUO3jrkHnQB7J-nYhXZZfoxzkeWAzct4wlJZceUsOJMrb8gCFtnTCsKV3X6tMH8,Journal of Medical Virology,Retrospective Cohort,RT-PCR,14,"Five of the 14 confirmed patients (35.7%) had a positive stool sample COVID‐19 nucleic acid, and patients with positive stool samples were also positive for oropharyngeal swabs specimens at least the day before",>24 hrs,Y,2020-04-25
8,2020-03-01,Pixelated colorimetric nucleic acid assay,https://www.sciencedirect.com/science/article/pii/S0039914019312147?via%3Dihub,Talanta,Simulation Study,Pixelated colorimetric nucleic acid assay,-,"Successful detection of HBV DNA was demonstrated in plasma, mimicking clinical samples, with a detection limit of 1 nM.",5-45 minutes,N,2020-04-25
9,2020-02-27,A simple magnetic nanoparticles-based viral RNA extraction method for efficient detection of SARS-CoV-2 biorxiv,https://www.biorxiv.org/content/10.1101/2020.02.22.961268v1,medRxiv,Investigative Study,RT-PCR (Novel Procedure),-,"pcMNPs have excellent viral RNA binding performances, which results in 10-copy sensitivity and the high linearity over 5 logs of gradient in SARSCoV-2 viral RNA detection using RT-PCR",20 mins,N,2020-04-25
