,Date,Study,Study Link,Journal,Study Type,Detection Method,Sample Size,Measure of Testing Accuracy,Speed of assay,FDA approval (Y/N),Added on
0,2020-04-10,Evaluation of nine commercial SARS-CoV-2 immunoassays,https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1,medRxiv,Retrospective Cohort,Wantai SARS-CoV-2 Total Antibody ELISA,30,specifity: 100%; sensitivity: 90%,2 hrs,Y,2020-04-25
1,2020-04-10,Evaluation of nine commercial SARS-CoV-2 immunoassays,https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1,medRxiv,Retrospective Cohort,Euroimmun IgA ELISA,30,specifity: 93%; sensitivity: 90%,2 hrs,Y,2020-04-25
2,2020-04-10,Evaluation of nine commercial SARS-CoV-2 immunoassays,https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1,medRxiv,Retrospective Cohort,Euroimmun IgG ELISA,30,specifity: 96; sensitivity: 65%,2 hrs,Y,2020-04-25
3,2020-04-10,Evaluation of nine commercial SARS-CoV-2 immunoassays,https://www.medrxiv.org/content/10.1101/2020.04.09.20056325v1,medRxiv,Retrospective Cohort,Lateral Flow Assay,30,-,2 hrs,Y,2020-04-25
4,2020-03-24,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,American Chemical Society,Review,Lateral Flow Antigen Detection,-,"The lateral flow assay has demonstrated a clinical sensitivity, specificity, and accuracy of 57%, 100%, and 69% for IgM and 81%, 100%, and 86% for IgG, respectively. A test that detects both IgM and IgG yields a clinical sensitivity of 82%. [Microfluidics] showed 100% and 87% clinical sensitivity and specificity for HIV",1+ hours,Y,2020-04-25
5,2020-03-24,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,American Chemical Society,Review,Microfluidic Devices,-,"The lateral flow assay has demonstrated a clinical sensitivity, specificity, and accuracy of 57%, 100%, and 69% for IgM and 81%, 100%, and 86% for IgG, respectively. A test that detects both IgM and IgG yields a clinical sensitivity of 82%. [Microfluidics] showed 100% and 87% clinical sensitivity and specificity for HIV",1+ hours,Y,2020-04-25
6,2020-03-01,Pixelated colorimetric nucleic acid assay,https://www.sciencedirect.com/science/article/pii/S0039914019312147?via%3Dihub,Talanta,Simulation Study,Pixelated colorimetric nucleic acid assay,-,"Successful detection of HBV DNA was demonstrated in plasma, mimicking clinical samples, with a detection limit of 1 nM.",5-45 minutes,N,2020-04-25
7,2020-02-26,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Review,Serology,-,"RT-LAMP Sensitivity >95%; PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%",RT-LAMP <1 hr; PCR 2-3 days;,Y,2020-04-25
8,2/16/2020,"A  Single and Two-Stage, Closed-Tube, Molecular Test for the 2019  Novel Coronavirus (COVID-19)at Home, Clinic, and Points of Entry",https://chemrxiv.org/articles/A_Single_and_Two-Stage_Closed-Tube_Molecular_Test_for_the_2019_Novel_Coronavirus_COVID-19_at_Home_Clinic_and_Points_of_Entry/11860138,ChemRxiv,Investigative Study,Penn-RAMP,-,COVID-19 Closed-Tube Penn-RAMP provided 100% Sensitivity,<1 Hour,N,2020-04-25
9,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,Antigen EIA; ,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",<30 min; ,Y,2020-04-25
10,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,Antigen IFA,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",1–4 h,Y,2020-04-25
11,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,Cell culture,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",1–7 days,Y,2020-04-25
12,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,monoplex,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",1–8 h,Y,2020-04-25
13,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,multiplex,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",,,2020-04-25
14,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,pan-HCoV,406,High sensitivity with universal coverage of all species of HCoV,1–8 h,Y,2020-04-25
15,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,Serology,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",2–8 h,Y,2020-04-25
16,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,specific-HCoV,406,High sensitivity with universal coverage of all species of HCoV,15-30 min,Y,2020-04-25
